name	givenName	familyName	affiliation
Will Smith	Will	Smith	Teton County Search and Rescue;USFS-BTNF;University of Washington School of Medicine;St. John’s Health;US Army Reserve
Erin Hartnett	Erin	Hartnett	"University of Arizona, College of Medicine - Phoenix"
Emily Nelson	Emily	Nelson	Bernhard Nocht Institute for Tropical Medicine
Kealapono Richardson	Kealapono	Richardson	Hawaii State Senate;TogetherWExpand.org
Brennan Enright	Brennan	Enright	"University of Arizona, College of Medicine - Phoenix"
Kyle Ellingsen	Kyle	Ellingsen	"University of Washington, School of Medicine"
Kathleen Hanlon	Kathleen	Hanlon	"University of Arizona, College of Medicine - Phoenix"
Ann Staudinger Knoll	Ann	Staudinger Knoll	"University of Arizona, College of Medicine - Phoenix"
Stephen Ferraro	Stephen	Ferraro	"University of Washington, School of Medicine"
Jenny Jensen	Jenny	Jensen	"University of Washington, School of Medicine"
Cameron Richards	Cameron	Richards	Idaho College of Osteopathic Medicine
Daniel Lee	Daniel	Lee	"University of Washington, School of Medicine"
Luke Johnson	Luke	Johnson	"University of Washington, School of Medicine"
Akshara Malla	Akshara	Malla	"University of Arizona, College of Medicine - Phoenix"
Amanda Nguyen	Amanda	Nguyen	"University of Washington, School of Medicine"
Celina Virgen	Celina	Virgen	"University of Arizona, College of Medicine - Phoenix"
Colin Bartz-Overman	Colin	Bartz-Overman	"University of Washington, School of Medicine"
Jeremiah Sims	Jeremiah	Sims	"University of Washington, School of Medicine"
Julia Ghering	Julia	Ghering	"University of Arizona, College of Medicine - Phoenix"
Kylie Jenkins	Kylie	Jenkins	"University of Arizona, College of Medicine - Phoenix"
Marjorie Thompson	Marjorie	Thompson	"University of Washington, School of Medicine"
Meleighe Sloss	Meleighe	Sloss	"University of Arizona, College of Medicine - Tucson"
Nour Bundogji	Nour	Bundogji	"University of Arizona, College of Medicine - Phoenix"
Sameer Kandula	Sameer	Kandula	"University of Arizona, College of Medicine - Phoenix"
Shandiin Sam	Shandiin	Sam	"University of Arizona, College of Medicine - Phoenix"
Sokena Zaidi	Sokena	Zaidi	"University of Arizona, College of Medicine - Phoenix"
Jasmine Rah	Jasmine	Rah	"University of Washington, School of Medicine"
Thamana Nishath	Thamana	Nishath	"University of Washington, School of Medicine"
Samuel Philbrick	Samuel	Philbrick	"Elmendorf Airforce Base, AK"
Jackson Schmidt	Jackson	Schmidt	"University of Washington, School of Medicine"
Michelle Arnold	Michelle	Arnold	"University of Arizona, College of Medicine - Phoenix"
Allison Hansen	Allison	Hansen	"University of Arizona, College of Medicine - Phoenix"
Zainab Khan 	Zainab	Khan	"University of Arizona, College of Medicine - Phoenix"
Sangeetha Thevuthasan	Sangeetha	Thevuthasan	"University of Washington, School of Medicine"
Maggie Donovan	Maggie	Donovan	"University of Arizona, College of Medicine - Phoenix"
Kersti Bellardi	Kersti	Bellardi	Western University Health Sciences
Avery Forrow	Avery	Forrow	"University of Washington, School of Medicine"
Diep Nguyen	Diep	Nguyen	"University of Arizona, College of Medicine - Phoenix"
Abel De Castro	Abel	De Castro	"University of Arizona, College of Medicine - Phoenix"
Allen Doan	Allen	Doan	"University of Arizona, College of Medicine - Phoenix"
Bhupinder Kaur	Bhupinder	Kaur	"University of Arizona, College of Medicine - Phoenix"
Charlotte Archuleta	Charlotte	Archuleta	"University of Arizona, College of Medicine - Phoenix"
David Cvancara	David	Cvancara	"University of Washington, School of Medicine"
John Michael Sherman	John Michael	Sherman	"University of Arizona, College of Medicine - Phoenix"
Julie Tran	Julie	Tran	"University of Arizona, College of Medicine - Phoenix"
Lyndsay Kandi	Lyndsay	Kandi	"University of Arizona, College of Medicine - Tuscon"
Marzia Shah	Marzia	Shah	"University of Arizona, College of Medicine - Phoenix"
Michael Olson	Michael	Olson	"University of Arizona, College of Medicine - Phoenix"
Rechel Geiger	Rechel	Geiger	"University of Washington, School of Medicine"
Sara Rutz	Sara	Rutz	"University of Washington, School of Medicine"
Simran Mand	Simran	Mand	"University of Washington, School of Medicine"
Taylor Bozich	Taylor	Bozich	"University of Washington, School of Medicine"
