"Title","ID","Updated Date","PMID","Status","Contributor","Editor","SeniorEditor","Section","Topics","BLUF","Citation","Journal","Authors","Summary","Figures","LevelOfEvidence","Methodology","InternalTags"
"Adverse outcomes and mortality in users of non-steroidal anti-inflammatory drugs who tested positive for SARS-CoV-2: A Danish nationwide cohort study","013be51f-a040-42c5-a5aa-0c237b595bc2",2020-09-21T18:01:26Z,"32898149","Published","c9f7901c-0de7-4e2e-be46-54cda789d477","6f77f78f-16e2-4fa6-8e63-98a29547d49a","aebaf5f2-67f3-474f-884f-6b8c82644f74","Adjusting Practice During COVID-19","[""adjusting practice"",""adults"",""pharmacy""]","Pharmacists and epidemiologists in Denmark conducted a population-based cohort study of 9,236 patients (Table 1) who tested positive for SARS-CoV-2 via PCR from February 27 to April 29, 2020 and found no significant difference between NSAID users (n=248) and non-NSAID users (n=8,988) regarding 30-day mortality, hospitalization, ICU admission, mechanical ventilation, or renal replacement therapy (Tables 2, 3). Authors suggest NSAID use during COVID-19 infection may have minimal effect on risk of mortality or adverse outcomes.","PLoS Med. 2020 Sep 8;17(9):e1003308. doi: 10.1371/journal.pmed.1003308. eCollection 2020 Sep.","PLoS Med","[""Lund LC"","" Kristensen KB"","" Reilev M"","" Christensen S"","" Thomsen RW"","" Christiansen CF"","" Støvring H"","" Johansen NB"","" Brun NC"","" Hallas J"","" Pottegård A.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_2YS3h8a48qDK4kw"",""description"":""Table 1. Baseline characteristics in the unmatched and propensity-score-matched cohorts.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3oO7kjHu8yCMlZe"",""description"":""Table 2. Association between current NSAID use and 30-day mortality, hospitalization, ICU admission, mechanical ventilation, and renal replacement therapy in unmatched and propensity-score-matched cohorts.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_12LlTBt5VpFLXRZ"",""description"":""Table 3. Association between current NSAID use and 30-day mortality, hospitalization, ICU admission, mechanical ventilation, and renal replacement therapy in\npropensity-score-matched cohorts according to subgroups of interest.""}]","3","Cohort study or control arm of randomized trial","[""Executive Summary""]"
"Rapid Decay of Anti-SARS-CoV-2 Antibodies in Persons with Mild Covid-19","08dfd5e8-3930-4686-9264-4d530ec58417",2020-09-22T17:12:18Z,"32706959","Published","ee98e9f9-d24b-41c2-986c-befeac94448b","37b21518-2a48-474b-b0ca-0fd69940f406","128c5f16-d1ca-4393-ab63-3b649101cfec","Understanding the Pathology","[""immunology""]","Investigators at David Geffen School of Medicine at University California, Los Angeles performed serial measurements on the IgG levels of plasma from 34 mildly symptomatic participants with confirmed or suspected COVID-19. Based on these serial measurements (first measurement: mean 37 days after symptom onset; last measurement: mean 86 days after onset), the estimated mean change of anti-SARS-CoV-2 IgG was −0.0083 log10 ng/mL per day with an estimated half life of 36 days (95% CI: 26 to 60 days; Figure 1), suggesting a short lifespan of humoral immunity against SARS-CoV-2 in mild cases.","N Engl J Med. 2020 Sep 10;383(11):e74. doi: 10.1056/NEJMx200017. Epub 2020 Jul 23.","N Engl J Med","[""""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_rqB3EZ12CRGQcXn"",""description"":""Figure 1. Longitudinal Assessment of Anti–SARS-CoV-2 Receptor-Binding Domain IgG in Persons Who Recovered from Covid-19.\n\nApproximately 80 persons who recovered from Covid-19 referred themselves to our institution to inquire about observational research. Of 68 persons who volunteered to provide initial blood samples, 41 returned to provide repeat samples. Of those persons, 3 were excluded from this analysis because of unclear timing of infection and 4 were excluded because of initial and repeat serum antibody measurements below the limit of reliable quantitative detection. For the 34 participants in our analysis, anti–SARS-CoV-2 receptor-binding domain (RBD) serum IgG concentrations were quantified by enzyme-linked immunosorbent assay as equivalent binding activity to a concentration of a control monoclonal IgG for at least two time points (31 of the 34 participants had two measurements, and the remaining 3 participants had three measurements). Panel A shows log-transformed IgG concentrations plotted against the time since the onset of symptoms in each participant. Panel B shows a linear regression model that was created to estimate the effects of the participants’ age and sex, the days from symptom onset to the first measurement, and the first measured log10 antibody level on the slope reflecting the change in anti-RBD antibody levels (in log10 ng per milliliters per day). The values for age and antibody level were centered at the mean. The time since symptom onset was centered at day 18 and adjusted per 100 days. Thus, the intercept of the model can be interpreted as the average slope adjusted for age, sex, and time and value of the first measurement. CI denotes confidence interval.""}]","3","Local non-random sample","[""Executive Summary""]"
"The Climate Crisis and Covid-19 - A Major Threat to the Pandemic Response","0d436b8e-d3ef-441e-b2fb-5dcc35a99934",2020-09-16T17:54:08Z,"32668132","Published","05267e48-cdcc-4219-9679-89377ccfb30b","6829c5fb-e2ba-4225-836e-6b148a334f6d","518c3194-4d70-4a2f-918c-2ef441d854c4","Climate","[""community""]","A professional opinion piece written by emergency medicine physicians at Massachusetts General Hospital (U.S.) describes the challenges posed by increasing natural disasters due to climate change in the context of COVID-19. Specifically, the authors cite an increased need for hospitals during heat waves and other natural disasters as well as a need for virus transmission mitigation efforts during evaluations due to fires and hurricanes. The authors propose short-term solutions to these issues (Table), such as the need to modify sheltering in response to natural disasters, and long-term solutions, such as increasing state and national funding for climate mitigation and public health disaster plans.","N Engl J Med. 2020 Sep 10;383(11):e70. doi: 10.1056/NEJMp2022011. Epub 2020 Jul 15.","N Engl J Med","[""Salas RN"","" Shultz JM"","" Solomon CG.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3fBrlW3EFu5sbD0"",""description"":""Table. Short-Term Strategies for Managing Climate-Related Extreme Events during the Covid-19 Pandemic.""}]","Other","Expert Opinion","[""Recomend Closer Inspection"",""Executive Summary""]"
"Optimizing Scarce Resource Allocation during COVID-19: Rapid Creation of a Regional Healthcare Coalition and Triage Teams in San Diego County, California","12fa1287-d0ae-4d40-82f7-f4d1500cd09d",2020-09-16T17:54:08Z,"32907684","Published","ee98e9f9-d24b-41c2-986c-befeac94448b","6829c5fb-e2ba-4225-836e-6b148a334f6d","518c3194-4d70-4a2f-918c-2ef441d854c4","Adjusting Practice During COVID-19 > For Healthcare Professionals","[""adjusting practice"",""community"",""healthcare workforce"",""supply chain""]","Physicians, ethicists, and public health experts based in San Diego County, California present the systems and protocols they developed for county-wide, population-based crisis management of COVID-19 (Figure 1). The team developed healthcare community coalitions, teams to triage scarce resources, systems to transmit information across multiple facilities, virtual tabletop exercises for disaster preparedness, and committees responsible for transparent communication with the public (Figure 2, 4). The strategies described in this article may benefit other communities in need of solutions to resource scarcity during the pandemic.
","Disaster Med Public Health Prep. 2020 Sep 10:1-21. doi: 10.1017/dmp.2020.344. Online ahead of print.","Disaster Med Public Health Prep","[""Devereaux A"","" Yang H"","" Seda G"","" Sankar V"","" Maves RC"","" Karanjia N"","" Parrish JS"","" Rosenberg C"","" Goodman-Crews P"","" Cederquist L"","" Burkle FM"","" Tuteur J"","" Leroy C"","" Koenig KL.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_1DGCk2A193ioZ1M"",""description"":""Figure 2. Organization chart for regionalization""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_1pLLj8XFkSDWaXv"",""description"":""Figure 4: Triage Team Development and Education""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_2uICW5FQuBqN3st"",""description"":""Figure 1. Timeline""}]","Other","Guidelines and Recommendations","[""Executive Summary""]"
"COVID-19 Models for Hospital Surge Capacity Planning: A Systematic Review","195c6d12-24cd-4622-a9eb-a0aee8c9169a",2020-09-17T19:00:38Z,"32907668","Published","74bf1338-4e36-47be-adf0-7bd59da64f1f","6829c5fb-e2ba-4225-836e-6b148a334f6d","518c3194-4d70-4a2f-918c-2ef441d854c4","Adjusting Practice During COVID-19","[""adjusting practice"",""healthcare workforce"",""management"",""review"",""supply chain""]","A systematic review conducted between May 15, 2020 and July 15, 2020 found 6 studies that highlight available planning models to estimate hospital capacity requirements during COVID-19 surges (Figure 1). This review suggests several capacity planning models (see summary) for COVID-19 resource management and provides resources to prepare for scenario-based plans for responding to the outbreak. ","Disaster Med Public Health Prep. 2020 Sep 10:1-17. doi: 10.1017/dmp.2020.332. Online ahead of print.","Disaster Med Public Health Prep","[""Klein MG"","" Cheng CJ"","" Lii E"","" Mao K"","" Mesbahi H"","" Zhu T"","" Muckstadt JA"","" Hupert N.""]","The models are the following:

- Cornell COVID caseload calculator with capacity and ventilators (C5V): provides option to model one wave, two waves, or an empirical distribution supplied by the user and creates projections broken into medical-surgical and ICU beds and ventilators 
- COVID-19 acute and intensive care resource tool (CAIC-RT): estimates maximum manageable daily number of incident cases based on case distribution and severity and beds available 
- COVID-19 Hospital Impact Model for Epidemics (CHIME): projects forecasts for outcomes of the outbreak that can be used to predict epidemic curves and adjust resources accordingly 
- COVID-19 ICU and floor projection: estimates daily number of medical resources to facilitate hospital planning 
- COVID-19 Surge: created by the CDC, estimates number of patients with different needs to facilitate reasonable allocations 
- Surge capacity bed management tools: project up to 30 days in advance for hospital bed demand and occupancy to address concerns relating to capacity, supply consumption, operational decisions. 
","[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3qJLxExHMwjWo8s"",""description"":""Figure 1 – PRISMA Flow Diagram for Systematic Review""}]","Other","Modeling",[]
"A Case of ""Relapsing"" COVID-19 in a Kidney Transplant Recipient","1ba3d35f-34c0-4be5-be8c-d3d4ffdf1498",2020-09-26T01:24:20Z,"32951300","Published","f3bca67e-15ef-4930-bc94-b46e5fc27de9","37b21518-2a48-474b-b0ca-0fd69940f406","128c5f16-d1ca-4393-ab63-3b649101cfec","Management > Surgical Subspecialties > Transplant Surgery","[""management"",""nephrology"",""presentation"",""symptoms"",""transplant""]","Investigators affiliated with The University of Hong Kong present a 31-year-old female, kidney transplant recipient on immunosuppressants who re-tested positive for SARS-CoV-2 following consecutive negative results. Specifically, the patient tested negative twice 18 days after initial positive test for SARS-CoV-2, yet tested positive again for SARS-CoV-2 via RT-PCR on day 20 with reoccurrence of symptoms. Despite treatment with lopinavir-ritonavir and resolution of symptoms 6 days after treatment, the patient continued to test positive by rectal swab for an additional 21 days and was monitored by serial cycle threshold (Ct) of viral RNA (Table 2; Figure 1). In reviewing this case, the authors highlight:
-the challenge in managing transplant recipients with COVID-19
-the potential for ""relapse"" of COVID-19 infection or ongoing viral shedding in an immunosuppressed patient 
-the crucial role that viral load monitoring may play in managing these patients
-the difficulty in balancing transplant rejection risk and the potential interactions between immunosuppressant drugs and antiviral agents.


","Nephrology (Carlton). 2020 Sep 20. doi: 10.1111/nep.13786. Online ahead of print.","Nephrology (Carlton)","[""Mingyao MB"","" Ngai HIF"","" Wang CGC"","" Raymond TA"","" Kay CSS"","" Kwan WBC"","" Kenichiro F"","" Takanori O"","" Yung YK"","" Mao CT.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3EKfuzjSnb5zzql"",""description"":""Table 2: Serial RT-PCR cycle threshold values in a kidney transplant recipient with COVID-19""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_0Bc2nisEJvBxiqR"",""description"":""Figure 1. Serial profile of SARS-CoV-2 viral load in nasopharyngeal swab/throat swab and rectal swab specimens, and of serum creatinine level, in a kidney transplant recipient ""}]","Other","Case Report","[""Executive Summary""]"
"Structural Racism, Social Risk Factors, and Covid-19 - A Dangerous Convergence for Black Americans","1de04f7c-ec81-4b05-b1ea-65caa56076a3",2020-09-22T17:12:18Z,"32706952","Published","05267e48-cdcc-4219-9679-89377ccfb30b","6829c5fb-e2ba-4225-836e-6b148a334f6d","518c3194-4d70-4a2f-918c-2ef441d854c4","Climate > Disparities","[""community"",""disparities""]","A professional opinion piece by internal medicine physicians from the Medical College of Wisconsin, Milwaukee (U.S.) finds that structural racism, the systems through which inequalities are reinforced, has been an overlooked piece of public health for years and has played a part in higher rates of hospitalization and death among black individuals and other minority groups during the COVID-19 pandemic. The authors hope that this manifestation of inequality will lead to policies, targeted interventions, and actions (Table) that decrease structural racism in American society in order to promote public health for affected individuals during the COVID-19 pandemic and beyond.","N Engl J Med. 2020 Sep 17;383(12):e77. doi: 10.1056/NEJMp2023616. Epub 2020 Jul 22.","N Engl J Med","[""Egede LE"","" Walker RJ.""]","Ideas proposed to combat structural racism include:
1) changing policies that may support structural racism, 
2) creating cross-sector partnerships, 
3) creating new policies that increase economic empowerment, 
4) creating community programs that build stable and supportive structures, 
5) ensuring that health systems build trust in vulnerable communities, and 
6) ensuring that targeted interventions addressing social risk factors are created.","[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_VJxOEuNiMg62kMN"",""description"":""""}]","Other","Expert Opinion","[""Executive Summary""]"
"Neuropathological Findings in Two Patients with Fatal COVID-19","2049151b-0543-4bba-a6e9-09b333e5d33e",2020-09-21T18:01:26Z,"32895961","Published","74bf1338-4e36-47be-adf0-7bd59da64f1f","37b21518-2a48-474b-b0ca-0fd69940f406","128c5f16-d1ca-4393-ab63-3b649101cfec","Understanding the Pathology","[""adults"",""critical care"",""neurology"",""pathology (specialty)""]","Investigators affiliated with the Barts Health NHS Trust, the University of Cambridge, and the University of Glasgow describe post-mortem neuropathological findings in 2 patients with COVID-19 and neurological decompensation. Case 1 showed widespread multi-focal cortical infarcts and case 2 showed brainstem encephalitis. Since viral RNA was not detected in the post mortem brain tissue in either case, these pathologies may not be a direct consequence of viral invasion. These findings contribute information to the spectrum of neuropathology associated with COVID-19, although further research into the mechanisms behind such neuropathological findings is needed.","Neuropathol Appl Neurobiol. 2020 Sep 8. doi: 10.1111/nan.12662. Online ahead of print.","Neuropathol Appl Neurobiol","[""Jensen MP"","" Le Quesne J"","" Officer-Jones L"","" Teodòsio A"","" Thaventhiran J"","" Ficken C"","" Goddard M"","" Smith C"","" Menon D"","" Allinson KSJ.""]","Details on each case is provided below:

Case 1: 71 year-old male with a 2 week history of COVID-19 had diffuse bilateral gyral calcification without hemorrhage or mass lesions on CT imaging. Patient died about one month into admission. Post-mortem exam showed widespread multi-focal cortical infarcts containing extra-medullary megakaryocytes, associated with extensive perivascular calcification and cerebral amyloid angiopathy (Figure 1).

Case 2: 66 year-old male presented with multi-organ failure and neurological decline. MRI showed evidence of old subarachnoid hemorrhage. Patient died about one month into admission. Post-mortem exam showed a focus of extravasated blood over right lateral cerebellar hemisphere, a brainstem encephalitis centered on the dorsal medulla and a subacute regional infarct involving the cerebellar cortex (Figure 2).","[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_1jVXCjg63zEe5Ag"",""description"":""Figure 1. Coronal sections through the cerebrum showing thinning and calcification of the frontal and occipital cortices (scale bar 10mm) (1a) Multiple foci of calcified necrosis in cerebral cortex shown with H&E (1b) and CD68 immunostaining (1c) with beta-amyloid immunostaining demonstrating a background cerebral amyloid angiopathy (1d) (scale bar 1mm).Cerebral cortical necrosis with perivascular calcification and background amyloid angiopathy (arrow) (1e) confirmed with beta-amyloid immunostaining (1f). Perivascular megakaryocytes (1g), immunostained for CD61, also showing platelet microthrombi (arrow) (1h).Scale bars: 1a 10mm; 1b-d 1mm; 1e-f 100um; 1g-h 50um.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3M97WNJngujmsMk"",""description"":""Figure 2. Brainstem and cerebellum showing haemorrhage over the right cerebellar hemisphere (2a).Histology of the cerebellar infarct showing calcification of Purkinje cells (2b).Axial sections of the medulla. The shaded area corresponds to the inflammation seen microscopically (2c).CD3 immunohistochemistry showing a moderate parenchymal infiltrate of T-lymphocytes (2d).CD3 immunohistochemistry showing T-cell neuronophagia (2e).CD68 immunohistochemistry showing microgliosis with microglial nodules (2f).ISH (RNAscope®) for SARS-CoV-2 genomic RNA showing no reactivity (2g). ISH for the mRNA encoding ubiquitin C demonstrating preservation of RNA (2h""}]","5","Case report","[""Executive Summary""]"
"SARS-COV-2 (COVID-19) has neurotropic and neuroinvasive properties","20dcfbfe-65c9-48e7-afd3-7098f70bfb61",2020-09-18T17:05:09Z,"32935417","Published","51d0ab69-abab-4a7c-9127-6f30a7239938","b2ac1e3e-d206-437a-a5ff-21dc17e3ec44","b30119c1-1db7-42b0-a80e-4e5601747093","Understanding the Pathology","[""adults"",""neurology"",""pathophysiology"",""review""]","A literature review by Gonzalo Flores at Benemérita Universidad Autónoma de Puebla, Mexico found that there is far less information known about the effects of neuroinvasive and neurotropism of COVID-19 compared to other coronaviruses. However, the literature describes several potential mechanisms through which coronaviruses may be able to penetrate into the CNS (through olfactory or peripheral neurons, an infected monocyte, or by directly binding ACE2 receptors on blood brain barrier endothelial cells) and discusses other coronaviruses such as SARS-CoV, with which a case report exhibited generalized tonic-clonic seizures. The author concludes that further research is needed to understand potential neuroinvasion and neural injuries following SARS-CoV-2 infection.","Int J Clin Pract. 2020 Sep 15:e13708. doi: 10.1111/ijcp.13708. Online ahead of print.","Int J Clin Pract","[""Flores G.""]",,[],"Other","Review / Literature Review",[]
"COVID-19, nausea and vomiting","20f30a7a-8906-4da8-867d-9d405e1fe62e",2020-09-25T00:05:57Z,"32955126","Published","b0f69700-4384-4947-bd85-bd6ea5d73c4e","b2ac1e3e-d206-437a-a5ff-21dc17e3ec44","b30119c1-1db7-42b0-a80e-4e5601747093","Epidemiology > Symptoms and Clinical Presentation","[""epidemiology"",""gastroenterology"",""pathophysiology"",""presentation"",""review"",""symptoms""]","A review conducted by biomedical and gastrointestinal researchers from London and Hong Kong found the overall incidence of nausea, vomiting, and diarrhea in COVID-19 infection can be as high as ~10% (Figure 1). Proposed potential mechanisms include SARS-CoV-2 modulation on vagal afferents causing anorexia from area postrema activation, SARS-CoV-2 receptor (angiotensin converting enzyme 2, ACE2) expression in upper GI enterocytes leading to peripheral and central emetic drives, and SARS-CoV-2-induced increase in angiotensin II which acts as a centrally acting emetic (Figure 2). Given these mechanisms potentially implicated in COVID-19, more attention is warranted for recognizing nausea and vomiting as early symptoms of infection.","J Gastroenterol Hepatol. 2020 Sep 21. doi: 10.1111/jgh.15261. Online ahead of print.","J Gastroenterol Hepatol","[""Andrews PLR"","" Cai W"","" Rudd JA"","" Sanger GJ.""]",,"[{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_3JDf30CIiZYuEgj"",""description"":""Figure 1. The incidence of nausea and/or vomiting and diarrhoea from 41 clinical studies 1, 2,\n4, 5, 16, 22-28, 30, 31, 35, 36, 41, 42, 92, 113-134 :nausea, n=34; vomiting, n=39; diarrhoea, n=39. Values for individual studies are shown together with the median and 95% confidence intervals. No distinction was made between nausea and vomiting in 10 studies so the same incidence was used in both categories. The total number of patients in the studies was 12239. Five studies (data indicated by triangles) reported only data on children (1.5 months to 17 years) 28, 42, 114, 115, 128.""},{""src"":""https://covid19lst.qualtrics.com/jfe/file/F_1OiWWdd6rMyUhl3"",""description"":""Figure 2. Diagram summarising the potential mechanisms by which SARS-Co-V-2 could\ninduce nausea and vomiting. The left-hand panel shows the routes by which virus can enter\nthe body to access the airways and digestive tract. Air can enter the digestive tract during\nswallowing. The presence of high levels of angiotensin converting enzyme 2 receptor in the\nairways and digestive tract is indicated by red lines. The middle panel shows the potential\nmechanisms (based on evidence discussed in the text) for the interaction of the virus with\nthe digestive tract epithelium leading to release of neuroactive agents from enteroendocrine\ncells and inflammatory mediations which act either by stimulating/sensitising abdominal\nvagal afferent terminals and /or act on the area postrema in the dorsal medulla where the\nblood brain and blood cerebrospinal fluid barriers are relatively permeable. In addition,\nangiotensin II levels may increase and have central actions together with virus which may\nenter the circulation from damaged lungs and digestive tract epithelia, The right hand panel\nsummarises the consequences of vagal afferent and area postrema activation to induce\nnausea and vomiting by projection of information to higher brain regions (nausea and\nanorexia) and vomiting by motor pathways in the ventral brainstem and spinal cord.\nAbbreviations: ACE 2: angiotensin converting enzyme receptor 2; AP: area postrema; NTS:\nnucleus tractus solitarius; DMVN: dorsal motor vagal nucleus; VRG: ventral respiratory group\nof neurones; EEC; enteroendocrine cells in the digestive tract; GLP-1: glucagon-like peptide-\n1; CCK: cholecystokinin; IL-6: interleukin-6; TMPRSS2:transmembrane protease serine 2; 5-\nHT: 5-hydroxytryptamine.""}]","Other","Review / Literature Review",[]
